country_iso3,foreign_direct_investment_inflows,gdp_per_capita,continent,net_barter_of_trade,inflation_rate,population,langoff_1,gdp_growth,agriculture_forestry_fishing_of_gdp,industry_of_gdp,area,gdp_us_dollar,merchandise_of_gdp,landlocked
GBR,27012050072.3452,42047.6142522206,Europe,101.0184871,3.85611244682819,63258810,English,1.540147403,0.696988990694164,18.7163018080994,244110,2659310054646.0,44.7884147366718,0
GEO,1170087549.5,4021.74330617286,Asia,140.9235456,8.54293333333334,3756441,Georgian,7.399999867,9.13194158257682,17.9546052192616,69700,15107441447.0,61.2545812776947,0
GHA,3247588000.0,1549.46271883345,Africa,190.2175968,8.72683683123394,25387713,English,14.04712363,23.663704967184,23.8636600934779,238538,39337314810.0,72.7629736251465,0
GIN,956060000.0,651.136113367479,Africa,114.8774737,21.3504664236733,10420459,French,5.612104279,16.069749632643,32.6143980733776,245857,6785137173.0,52.1581201660178,0
GMB,36077136.0813735,762.763117720034,Africa,98.176995,4.79588266183113,1848142,English,-8.130444223,27.202420609824,11.5126603208193,11295,1409694554.0,31.4252473183982,0
GNB,25024047.388377,703.66056725746,Africa,80.92461737,5.04610226320203,1562996,Portuguese,8.084779734,45.0224585558608,12.4017920538388,36125,1099818652.0,43.8254069552064,0
GNQ,1975000000.0,21641.6938980227,Africa,228.8670846,4.80538922155687,986861,Spanish,6.52392363,1.05350238776435,78.0648736926197,28051,21357344847.0,95.854617057799,0
GRC,1092191387.83039,25450.5341194438,Europe,89.8408118,3.3298640617472,11104899,Greek,-9.132494172,3.11375165365917,14.377117800521,131621,287797821676.0,35.5537488915781,0
GRD,42648183.7037037,7291.74166956273,America,96.99615811,3.03347280334727,106786,English,0.764976824,4.44779251616389,13.3429542169294,345,778655925.9,47.1324994494312,0
GTM,876760590.0,3228.0457411296,America,258.2402996,6.21412393067094,14521515,Spanish,4.162048937,11.2587427520036,27.9436212267543,108889,47654783852.0,57.628496306513,0
GUY,246800000.0,4908.56701446734,America,127.8636111,4.97773563706971,752029,English,5.19629812,25.683716722514,26.4536862005812,214970,3691384743.0,78.5613042705898,0
HND,1042571020.7703,2088.3155465311,America,213.8256444,6.76227957314765,8480670,Spanish,3.835690662,14.2196558016976,25.8142160143128,112088,17710315006.0,107.863694087476,0
HRV,1248979435.63125,14609.5243524166,Europe,100.8375595,2.27272727272727,4280622,Serbo-Croatian,-0.1983692635,3.68296629648846,22.4199780007417,56538,62537851352.0,57.5667363387379,0
HTI,119000000.0,1287.95405805707,America,273.8508193,6.33279483849046,10100320,French,6.154225158,20.0431184952698,24.5925797826128,27750,13008748132.0,29.1111793515244,0
HUN,10740966550.9834,14216.1656114334,Europe,97.81680877,3.92992098935075,9971727,Hungarian,1.937107794,4.00038229565524,25.1366480663597,93032,141759722464.0,151.490138572,1
IDN,20564938226.7185,3643.04717619274,Asia,134.2163952,5.36,245115988,Indonesian,6.169784208,13.5122870743946,43.9134234267133,1933658,892969107923.0,42.6591465057498,0
IND,36498654597.8589,1458.10406619626,Asia,89.99256996,8.85836096636667,1250287939,English,5.241344743,17.1919735574898,30.1616797630696,3287590,1823050405350.0,42.0924840461063,0
IRL,23699352432.596,51886.5084852792,Europe,95.71018889,2.5571888318692,4580084,English,0.3434411125,1.21045539236455,24.6723848164374,70285,237472361734.0,80.938521827632,0
IRN,4276718690.0,7781.40580096573,Asia,184.2908369,26.2933856738609,74634959,Persian,2.645717918,5.44726700369876,47.9220542846223,1648100,580764902917.0,33.3628976246081,0
IRQ,2082000000.0,6045.4945669195,Asia,238.5196939,5.80145537085299,30725305,Arabic,7.5464712,4.56377343749618,62.5480287876873,437072,185470085470.0,70.5406388710808,0
ISL,1106958185.40328,47714.5922308485,Europe,88.72937642,4.00102664343116,319014,Icelandic,1.88162028,6.60042661433499,22.3658536476198,102819,15158548263.0,66.9311022193534,0
ISR,8653000000.0,33610.6940289761,Asia,91.49836583,3.47857270934193,7765800,Hebrew,4.783497509,1.56785041493559,20.7463992737259,21621,261468634287.0,53.7883174443565,0
ITA,34465481829.5319,38599.0622070322,Europe,94.03176162,2.78063272879324,59379449,Italian,0.707333347,1.88342627816685,21.7497036250001,301323,2291991045770.0,47.2098266699967,0
JAM,172757165.409787,5111.46598710697,America,92.15338569,7.55585646580907,2825932,English,1.730376267,5.64728677796925,18.2490235366752,10991,14444655300.0,55.8130314128614,0
JOR,1486056338.02817,3852.89002548782,Asia,78.81172359,4.16244162927781,7662858,Arabic,2.737179832,3.50500375059406,26.7946689561015,91862,29524149165.0,91.2337891894932,0
JPN,-850717035.068239,48167.9972684965,Asia,61.59802886,-0.267633600966946,127833000,Japanese,-0.1154213398,1.0754189233601,26.8817083953574,377801,6157459594824.0,27.260657973478,0
KAZ,13760291528.5034,11634.0012021103,Asia,232.0804198,8.42488761919795,16557202,Kazakh,7.400000001,4.9889741557576,37.2660880953566,2717300,192626507972.0,62.9414929838657,1
KEN,1450460112.22249,971.633036511422,Africa,92.13262128,14.0224939638475,43178270,English,6.10826372,26.3046046638708,18.9069378338439,582646,41953433591.0,48.9542767822588,0
KGZ,685760800.0,1123.8831680627,Asia,128.2204491,16.6363262731496,5514600,Kyrgyz,5.956274309,16.56531665018,27.4490880946162,198500,6197766119.0,100.681437159668,1
KHM,1538883424.90021,882.275613986936,Asia,67.73943785,5.47858730411899,14541421,Khmer,7.069569946,34.5573140316336,22.1418106043407,181035,12829541141.0,124.743354607075,0
KIR,-348737.579186123,1734.90239727549,Pacific,85.12066056,1.49740979875968,104735,English,1.594561102,25.0739372058832,12.8273246936076,717,181705002.6,55.584600625557,0
KNA,109632707.037037,16539.7690073067,America,69.7843723,5.83516519570853,49442,English,1.828435302,1.36506714373061,21.4089992979914,269,817759259.3,35.7073303290382,0
KOR,9773000000.0,25096.2638838239,Asia,51.05174842,4.02584624959385,49936638,Korean,3.685667782,2.20919995518876,34.4509672575549,99484,1253223044719.0,86.1480328301884,0
KWT,3259067552.4562,48631.7834045849,Asia,220.7903647,4.8394034987095,3168054,Arabic,9.628406975,0.438823407677764,72.7057014119484,17818,154068115942.0,82.5563415391273,0
LAO,300743507.13,1378.36201638757,Asia,110.60392,7.56898856109973,6347564,Lao,8.038652681,20.7912551867683,30.8159701948389,236800,8749241114.0,52.5074111004857,1
