country_iso3,gdp_us_dollar,inflation_rate,gdp_growth,area,landlocked,continent,langoff_1,population,gdp_per_capita,agriculture_forestry_fishing_of_gdp,industry_of_gdp,merchandise_of_gdp,net_barter_of_trade,foreign_direct_investment_inflows
KAZ,184388432149.0,6.665776115,1.2,2717300,1,Asia,Kazakh,17542806.0,10510.77189,4.710547419,30.85478739,41.50151889,150.8364068,6577824050.0
KAZ,184388432149.0,6.665776115,1.2,2717300,1,Asia,Kazakh,17542806.0,10510.77189,4.710547419,30.85478739,41.50151889,150.8364068,6577824050.0
KEN,64007750169.0,6.582174403,5.718507131,582646,0,Africa,English,47878339.0,1336.883265,30.19240888,17.30079584,34.3692755,102.7721788,619719962.3
KGZ,6678178340.0,6.50331839,3.875825443,198500,1,Asia,Kyrgyz,5956900.0,1121.082835,14.06076433,25.07806232,82.52250418,121.3890289,1144054000.0
KHM,18049954289.0,1.221270061,7.036087179,181035,0,Asia,Khmer,15521435.0,1162.904995,26.58036001,27.67957211,120.7925497,75.07976437,1822804151.0
KIR,171117872.4,0.5720157436,10.40540793,717,0,Pacific,English,110927.0,1542.616968,21.57655581,15.22203929,74.21784656,102.3898478,-819824.3529
KNA,923155555.6,-2.30187563,1.033704225,269,0,America,English,51204.0,18028.97343,1.029881405,23.57694221,38.13008521,69.94500727,128828086.3
KOR,1465773245547.0,0.7062081699,2.809103268,99484,0,Asia,Korean,51014947.0,28732.23108,2.003907793,34.14993567,65.71657676,59.02676024,4104100000.0
KWT,114567298106.0,3.271701661,0.5930196172,17818,0,Asia,Arabic,3835588.0,29869.55275,0.537517441,55.93633334,74.26639312,137.4978497,284647623.8
LAO,14390442307.0,1.277354271,7.270065843,236800,1,Asia,Lao,6741160.0,2134.713062,17.5877597,27.69334425,64.8208012,96.06495418,1077759915.0
LBN,49939374833.0,-3.749145248,0.211611959,10452,0,Asia,Arabic,6532681.0,7644.545147,3.382572678,15.72948019,45.94971418,104.2067927,2159289952.0
LBR,3177000000.0,7.748696876,0.0,111369,0,Africa,English,4472229.0,710.3840166,34.37069562,12.53687441,62.00818382,126.5177235,232679832.5
LBY,27842131480.0,14.85,-8.862039363,1759540,0,Africa,Arabic,6418315.0,4337.919139,1.0,80.0,99.92410251,135.188248,0.0
LCA,1808079889.0,-0.9843092035,-1.360484662,617,0,America,English,179131.0,10093.61802,2.16165473,10.94032083,41.48046802,110.578959,153713119.4
LKA,80604080689.0,3.768367831,5.007683305,65610,0,Asia,Sinhala,20970000.0,3843.780672,8.184271461,27.16952619,36.57631195,110.0882088,679655644.2
LSO,2372280103.0,3.218445137,2.650143853,30355,1,Africa,English,2059011.0,1146.064688,3.781795521,33.73760289,123.9956711,85.10406329,206514459.9
LTU,41418872976.0,-0.8840974055,2.024583955,65300,0,Europe,Lithuanian,2904910.0,14258.22933,3.42067512,26.71806,129.2792299,98.50105395,1036954106.0
LUX,57744457955.0,0.4747431614,4.306431493,2586,1,Europe,French,569604.0,101376.4966,0.2256893814,11.03811546,70.01191358,75.74993753,12499722623.0
LVA,27239653844.0,0.1742422436,4.006874033,64589,0,Europe,Latvian,1977527.0,13774.60527,3.496190161,19.11231756,99.13855791,105.1109852,812843819.5
MAR,101179808076.0,1.557907113,4.536378168,710850,0,Africa,Arabic,34663608.0,2875.257985,12.62806822,26.0940331,59.72930879,117.6284646,3252913902.0
