country_iso3,area,net_barter_of_trade,gdp_us_dollar,gdp_growth,langoff_1,landlocked,industry_of_gdp,population,gdp_per_capita,merchandise_of_gdp,agriculture_forestry_fishing_of_gdp,foreign_direct_investment_inflows,continent,inflation_rate
PHL,300000,82.84495881,328480738147.0,6.930988326,English,0,30.12655058,105172921.0,3123.245642,51.94031588,10.18295413,10256442399.0,Asia,2.853187726
PLW,487,98.94223249,286106800.0,-1.916360453,English,0,8.332377979,17809.0,16065.29283,57.32125206,3.204677414,27484632.72,Pacific,1.280462619
PNG,462840,174.8264631,22742613549.0,3.534610884,English,0,36.35985974,8438038.0,2695.249009,57.2097836,17.64956891,161470622.8,Pacific,5.42204568
POL,312685,98.89419785,526508877305.0,4.83065457,Polish,0,28.35149648,37974826.0,13864.68176,88.9208179,2.872298457,11762000000.0,Europe,2.075935537
PRT,92389,95.49292117,221357874719.0,3.506344739,Portuguese,0,19.11726582,10300300.0,21437.3475,63.80702479,2.095868576,10683844361.0,Europe,1.368614116
PRY,406752,126.1134533,39008900332.0,4.953771979,Spanish,1,34.05183999,6867058.0,5678.869972,52.70900776,10.5267434,744619762.9,America,3.602477413
QAT,11437,139.9430274,161099122215.0,-1.49760469,Arabic,0,56.68796532,2724727.0,59124.86727,60.45594703,0.2147415368,985989011.0,Asia,0.3948789141
RUS,17075400,127.7385849,1574199387071.0,1.825790064,Russian,0,30.67329689,144496739.0,10720.33266,37.563666,3.55363209,28557440000.0,Asia,3.683329444
RWA,26338,191.5959769,9253098954.0,3.976289694,French,1,17.28421569,11980960.0,772.3169891,35.45839093,26.34544257,274025990.7,Africa,8.279536723
SAU,2153168,103.8568963,688586244287.0,-0.7415026515,Arabic,0,45.84756293,33101183.0,20802.46631,51.75154208,2.528472506,1418843614.0,Asia,-0.8381945797
SEN,196722,115.068975,20996564752.0,7.407486186,French,0,23.27769428,15419354.0,1361.701972,46.28376172,14.98203382,588292998.0,Africa,1.318153148
SGP,646,84.39635131,341863349989.0,4.336604919,English,0,23.54481011,5612253.0,61176.45636,204.2796047,0.03077311817,100786356971.0,Asia,0.5762603102
SLE,73326,56.34621901,3739577973.0,4.211182649,English,0,5.157286021,7488427.0,499.3809746,49.95216073,60.28354504,413724476.1,Africa,18.2198092
SLV,21041,95.86047171,24979200000.0,2.249942252,Spanish,0,25.17150269,6388124.0,3910.255969,65.38239816,5.392966949,503801415.2,America,1.012354033
STP,964,103.7784279,375614556.4,3.848982387,Portuguese,0,16.12703462,207086.0,1813.807434,43.12936833,10.87890247,34208489.03,Africa,5.695088786
SUR,163820,140.619554,3216207914.0,1.76230389,Dutch,0,38.27538765,570501.0,6295.560562,91.10086045,10.91733908,96075554.74,America,21.99694302
SVK,49036,94.97718922,95494424979.0,3.043279556,Slovak,1,28.87917174,5439232.0,17504.21134,173.3346548,2.389406575,4225581974.0,Europe,1.311945882
SVN,20256,95.10817185,48586603448.0,4.79354876,Slovenian,0,28.36129976,2066388.0,23454.73952,153.7574574,1.819732271,1196228605.0,Europe,1.429107433
SWE,449964,90.35066989,541018749769.0,2.567924525,Swedish,0,22.12837188,10057698.0,53791.50873,56.76975153,1.443538229,28044044009.0,Europe,1.794499047
SWZ,17364,116.7537046,4403000000.0,2.026570236,Swati,1,33.87894676,1124808.0,3914.421839,77.51580581,8.427754751,-57647593.39,Africa,6.221375289
SYC,455,86.70532851,1524486800.0,4.375995958,English,0,11.12152391,95843.0,15906.08391,121.2867176,1.880676005,124465535.7,Africa,2.856795756
TCD,1284005,134.3639001,10000395242.0,-2.988695986,French,1,14.62854777,15016761.0,665.9488849,44.71823255,48.61308641,363381636.4,Africa,-1.53709963
TGO,56785,119.4735885,4819949975.0,4.357413915,French,0,21.32328587,7698476.0,830.7452767,45.18821661,20.63860852,88558699.5,Africa,-0.9802894955
THA,513115,102.633045,456294704153.0,4.066250349,Thai,0,35.01875953,69209817.0,6593.818352,100.3937791,8.406412587,8285169820.0,Asia,0.6656318931
TJK,143095,97.02487428,7157865188.0,7.617492691,Tajik,1,31.84685796,8880270.0,848.6723799,52.71719891,20.28329632,185827080.7,Asia,7.31
TKM,488100,151.2957792,37926285714.0,6.500000047,Turkmen,1,47.04388965,5757667.0,6587.092604,31.71678896,11.11780748,2085944000.0,Asia,8.04
TON,748,116.9005426,460379145.0,3.322432544,Tongan,0,16.34949548,102002.0,4513.432531,54.30306796,16.8054005,-5613753.358,Pacific,7.442245466
TTO,5130,129.8366482,22474828527.0,-2.312115621,English,0,39.68925027,1384060.0,16173.74005,69.84008052,1.239704274,-470882577.7,America,1.880384402
TUN,164150,101.8697215,39802430355.0,1.916928327,Arabic,0,23.68111379,11433438.0,3481.241106,87.57729389,9.685051553,810936482.8,Africa,5.308848396
